year,sales,units,entity_sales,entity_units,sale_share,unit_share
2000,20686,25182,1157,2823,0.055931547906796865,0.11210388372647129
2001,21879,25620,1377,2556,0.06293706293706294,0.09976580796252928
2002,24092,28890,1767,3651,0.07334384858044164,0.12637590861889927
2003,25678,30375,2283,3934,0.08890879351974453,0.12951440329218106
2004,31287,37245,2686,5324,0.0858503531818327,0.14294536179352935
2005,32826,39212,3283,6148,0.10001218546274294,0.1567887381413853
2006,30572,35801,3403,5658,0.11131100353264425,0.15804027820451944
2007,26336,31720,3300,6195,0.1253037667071689,0.19530264817150064
2008,19621,22842,2864,4364,0.14596605677590338,0.19105157166622888
2009,17293,19801,2538,3771,0.14676458682703986,0.19044492702388768
2010,16794,20565,2689,5015,0.1601167083482196,0.2438609287624605
2011,14482,18337,2528,5113,0.17456152465129127,0.2788351420624966
2012,14292,18251,2686,5468,0.18793730758466276,0.2996000219166073
2013,17283,21694,3633,6737,0.21020656136087484,0.31054669493869275
2014,18211,22857,4136,7452,0.22711547965515347,0.32602703766898544
2015,20635,25981,5055,9066,0.24497213472255877,0.34894730764789655
2016,25724,30643,6349,9717,0.24681231534753537,0.3171034167672878
2017,26545,31898,7048,10621,0.2655113957430778,0.3329675841745564
2018,26119,30892,6751,9957,0.2584708449787511,0.3223164573352324
2019,24400,29303,6545,10046,0.2682377049180328,0.34283179196669283
2020,20669,24600,4649,7416,0.22492621800764429,0.30146341463414633
2021,20211,24213,4569,7333,0.226065014101232,0.3028538388469004
2022,28785,34466,7458,11473,0.2590932777488275,0.3328787790866361
2023,17751,20518,4676,6468,0.26342177905470116,0.31523540306072717
2024,18163,21722,4846,7156,0.26680614435941197,0.32943559524905625
2025,18778,22243,5647,8015,0.3007242517840026,0.3603380838915614
